Countries,Happiness,GDP_Per_Capita
France,6.9591851234436,41546.4921875
France,6.64936542510986,42147.671875
France,6.66712141036987,42864.01953125
France,6.46686792373657,42790.6328125
France,6.35762500762939,42816.26953125
France,6.47520875930786,43021.39453125
France,6.63522243499756,43345.78515625
France,6.66590356826782,43705.1484375
France,6.68964433670044,44577.06640625
France,6.71411180496216,45284.00390625
France,6.68989992141724,46017.765625
France,6.68669986724854,42320.5234375
Germany,6.61954975128174,43089.47265625
Germany,6.41681957244873,43949.2890625
Germany,6.52179002761841,45678.08203125
Germany,6.64149332046509,47100.609375
Germany,6.72453117370605,47643.22265625
Germany,6.62131214141846,45044.48828125
Germany,6.70236206054688,46999.23828125
Germany,6.96512508392334,49757.92578125
Germany,6.98421430587769,49872.44921875
Germany,7.03713750839233,49954.171875
Germany,6.87376308441162,50845.52734375
Germany,7.07432460784912,51159.296875
Germany,7.11836433410645,51879.671875
Germany,7.03547239303589,53071.45703125
Germany,7.31189775466919,53486.83984375
Germany,7.15450000762939,53929.640625
Germany,7.03410005569458,51423.234375
Greece,6.0063099861145,32981.49609375
Greece,6.6469612121582,34670.3359375
Greece,6.03857469558716,37619.82421875
Greece,5.83955860137939,37394.3359375
Greece,5.37203979492188,35692.1015625
Greece,5.09635400772095,33693.2109375
Greece,4.72025108337402,30318.404296875
Greece,4.7562370300293,28322.572265625
Greece,5.62251901626587,27810.912109375
Greece,5.30261945724487,28129.9609375
Greece,5.14824151992798,28260.38671875
Greece,5.40928936004639,28239.919921875
Greece,5.95215749740601,28604.861328125
Greece,5.78761577606201,29141.173828125
Greece,5.72259998321533,29698.03125
Greece,5.94820022583008,27072.619140625
Hungary,5.19393348693848,22205.54296875
Hungary,4.95391702651978,24419.828125
Hungary,4.89460039138794,25533.3671875
Hungary,4.72513246536255,25835.548828125
Hungary,4.9176025390625,24168.984375
Hungary,4.68335819244385,24486.041015625
Hungary,4.91446685791016,25012.294921875
Hungary,5.18056344985962,24825.580078125
Hungary,5.34438323974609,25343.712890625
Hungary,5.44890165328979,26485.412109375
Hungary,6.06503868103027,27531.64453125
Hungary,5.93577098846436,28218.279296875
Hungary,6.00025987625122,29501.12109375
Hungary,6.03804969787598,31121.666015625
Hungary,5.99160003662109,32553.6953125
Hungary,6.0858998298645,31098.396484375
India,5.34825897216797,3054.9189453125
India,5.02679347991943,3245.2998046875
India,5.14583301544189,3453.105712890625
India,4.52151775360107,3661.95556640625
India,4.98927736282349,3720.092529296875
India,4.63487148284912,3956.359130859375
India,4.72014665603638,4234.9794921875
India,4.42778873443604,4399.88818359375
India,4.42437934875488,4583.17333984375
India,4.34207916259766,4818.5224609375
India,4.17917728424072,5116.62890625
India,4.04611110687256,5464.39404296875
India,3.81806874275208,5851.39501953125
India,3.24876976013184,6182.921875
India,4.22528123855591,6518.84521484375
India,3.8189001083374,6713.93212890625
India,3.77710008621216,6165.74658203125
Ireland,7.14424657821655,55040.8203125
Ireland,7.56802988052368,58189.77734375
Ireland,7.04591131210327,59530.88671875
Ireland,7.25738954544067,55712.5
Ireland,7.00690412521362,52336.62890625
Ireland,6.96464538574219,52965.7890625
Ireland,6.760085105896,53298.8125
Ireland,7.01837921142578,53045.65234375
Ireland,6.83012533187866,53435.640625
Ireland,7.04073143005371,57668.75390625
Ireland,7.06015539169312,71508.734375
Ireland,6.96233558654785,72150.0390625
Ireland,7.25484132766724,77749.203125
Ireland,7.03493070602417,83726.359375
Ireland,7.08529996871948,86650.0078125
Ireland,7.04080009460449,90789.21875
Italy,6.85378360748291,43781.21875
Italy,6.57441234588623,44260.828125
Italy,6.77977418899536,44918.171875
Italy,6.33380031585693,45356.53515625
Italy,6.35423803329468,44623.6015625
